scenario,ground_truth_item,pf,evtx,sbags,correlated,reproducibility,notes
S01,Chrome installer executed,,,,,N/A,
S01,WinRAR installer executed,,,,,N/A,
S01,VLC installer executed,,,,,N/A,
S01,Adobe Reader installer executed,,,,,N/A,
S01,Zoom installer executed,,,,,N/A,
S01,Notepad++ installer executed,,,,,N/A,
S01,Chrome install completed successfully,,,,,N/A,
S01,WinRAR install completed successfully,,,,,N/A,
S01,VLC install completed successfully,,,,,N/A,
S01,Adobe Reader install completed successfully,,,,,N/A,
S01,Zoom install completed successfully (+ service 7045),,,,,N/A,
S01,Notepad++ install completed successfully,,,,,N/A,
S01,User navigated to Downloads folder,,,,,N/A,
S04,USB device attached (VID/PID/serial),N/A,,,,/3,
S04,USB volume root browsed,N/A,N/A,,,/3,
S04,USB subfolder browsed,N/A,N/A,,,/3,
S04,EXE launched from USB volume,,,N/A,,/3,
S04,USB device safely ejected,N/A,,N/A,,/3,
S07,notepad++.exe launched,,,N/A,,/3,
S07,User navigated to Documents in Save-As dialog,N/A,N/A,,,/3,
S07,New subfolder S07_Output_R<NN> created,N/A,N/A,,,/3,
S07,File s07-test-R<NN>.txt saved to new subfolder,,,,,/3,
S07,Save-As dialog ShellBags entry present,N/A,N/A,,,/3,
S02,notepad.exe launched (3 times),,,N/A,,N/A,
S02,calc.exe launched (3 times),,,N/A,,N/A,
S02,chrome.exe launched (3 times),,,N/A,,N/A,
S02,winrar.exe launched (3 times),,,N/A,,N/A,
S02,vlc.exe launched (3 times),,,N/A,,N/A,
S02,notepad++.exe launched (3 times),,,N/A,,N/A,
S02,Prefetch run count = 3 per app,,N/A,N/A,,N/A,
S03,Level-1 folder browsed,N/A,N/A,,,N/A,
S03,Level-2 folder browsed,N/A,N/A,,,N/A,
S03,Level-3 folder browsed,N/A,N/A,,,N/A,
S03,Level-4 folder browsed,N/A,N/A,,,N/A,
S03,Level-5 folder browsed,N/A,N/A,,,N/A,
S03,Sibling folder NOT browsed (negative control),N/A,N/A,,,N/A,
S05,File deleted to Recycle Bin,,,,,N/A,
S05,Recycle Bin emptied,,,,,N/A,
S06,Interactive logon (type 2) at T1,N/A,,N/A,,N/A,
S06,Workstation locked at T2,N/A,,N/A,,N/A,
S06,Workstation unlocked at T3,N/A,,N/A,,N/A,
S06,Logoff at T4,N/A,,N/A,,N/A,
S08,cmd.exe executed,,,N/A,,N/A,
S08,whoami invoked with args,N/A,,N/A,,N/A,
S08,dir invoked with args,N/A,,N/A,,N/A,
S08,powershell.exe executed,,,N/A,,N/A,
S08,Get-Process invoked,N/A,,N/A,,N/A,
S09,Chrome launched,,,N/A,,N/A,
S09,URL 1 visited (example.com),N/A,,N/A,,N/A,
S09,URL 2 visited (bbc.co.uk),N/A,,N/A,,N/A,
S09,URL 3 visited (download source),N/A,,N/A,,N/A,
S09,File downloaded,,,,,N/A,
S09,Downloads folder opened in Explorer,,,,,N/A,
S10,Clean shutdown at T1,,,N/A,,N/A,
S10,Power-on at T2,,,N/A,,N/A,
S10,Interactive logon after boot at T3,N/A,,N/A,,N/A,
