"Action","Note","StartUtc","EndUtc","DurationSec"
"A01","Open Edge","2026-08-16 08:58:57.403","2026-08-16 08:59:43.340","45.94"
"A02","Download Chrome","2026-08-16 09:00:11.782","2026-08-16 09:00:52.726","40.94"
"A03","Download WinRAR","2026-08-16 09:01:02.974","2026-08-16 09:01:42.744","39.77"
"A04","Download VLC","2026-08-16 09:01:52.111","2026-08-16 09:02:55.433","63.32"
"A05","Download Adobe Reader","2026-08-16 09:03:14.419","2026-08-16 09:03:42.941","28.52"
"A06","Download Zoom","2026-08-16 09:03:57.527","2026-08-16 09:05:06.704","69.18"
"A07","Download Notepad++","2026-08-16 09:05:28.395","2026-08-16 09:06:08.180","39.79"
"A08","Download Close Edge","2026-08-16 09:06:38.154","2026-08-16 09:06:53.589","15.44"
"A09","Open Downloads","2026-08-16 09:07:16.218","2026-08-16 09:07:36.311","20.09"
"A10","Install Chrome","2026-08-16 09:07:52.395","2026-08-16 09:09:22.197","89.8"
"A11","Install WinRAR","2026-08-16 09:09:42.312","2026-08-16 09:10:05.723","23.41"
"A12","Install VLC","2026-08-16 09:10:23.347","2026-08-16 09:11:15.373","52.03"
"A13","Install Adobe Reader","2026-08-16 09:11:31.229","2026-08-16 09:17:20.529","349.3"
"A14","Install Zoom","2026-08-16 09:17:40.258","2026-08-16 09:18:28.757","48.5"
"A15","Install Notepad++","2026-08-16 09:18:43.418","2026-08-16 09:19:21.550","38.13"
