"RunTime","ExecutableName"
"2026-08-26 22:40:04","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE"
"2026-08-26 22:39:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-26 22:31:39","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-26 22:33:44","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BDEUISRV.EXE"
"2026-08-26 22:33:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CMD.EXE"
"2026-08-26 22:41:22","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE"
"2026-08-26 22:33:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-26 22:34:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONSENT.EXE"
"2026-08-26 22:40:21","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-26 22:34:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-26 22:34:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\USERS\DFANALYST\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\26.150.0804.0011\FILECOAUTH.EXE"
"2026-08-26 22:40:21","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-26 22:34:58","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-26 22:34:58","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-26 22:33:06","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\MOBSYNC.EXE"
"2026-08-26 22:39:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\UUS\AMD64\MOUSOCOREWORKER.EXE"
"2026-08-26 22:34:59","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\UUS\AMD64\MOUSOCOREWORKER.EXE"
"2026-08-26 22:33:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\USERS\DFANALYST\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\ONEDRIVE.EXE"
"2026-08-26 22:34:07","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WINDOWSPOWERSHELL\V1.0\POWERSHELL.EXE"
"2026-08-26 22:34:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-26 22:39:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-26 22:33:54","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-26 22:31:39","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-26 22:33:02","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-26 22:33:54","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-26 22:34:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-26 22:34:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-26 22:33:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTH\10.0.29554.1001-0\SECURITYHEALTHHOST.EXE"
"2026-08-26 22:33:13","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTHSERVICE.EXE"
"2026-08-26 22:33:13","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTHSYSTRAY.EXE"
"2026-08-26 22:33:12","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SMARTSCREEN.EXE"
"2026-08-26 22:34:58","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SPPSVC.EXE"
