"Algorithm","Hash","Path","SizeBytes"
"SHA256","C68D38095DFB2E9B530815D247EDE642914F29DF5DFAB33C109F9DBDAD4F4147","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\AM_BASE.EXE-3F70DC95.pf","2302"
"SHA256","D0F474BBBAAF93D94B0C47B73916FCFE691859FB31CD03B2149411BDD10F6488","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\AM_BASE_PATCH1.EXE-B2ACC39D.pf","2241"
"SHA256","C56FE176E6DD0A3B482EFD5AD1EDBA7CEA661FEE313ACE5714177C37389DAA12","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\AM_DELTA.EXE-78CA83B0.pf","3175"
"SHA256","32AF82BCEBE88153759C8B1B5E27929FDA11AC173245F4C514CDCC71FB879F26","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\AM_ENGINE.EXE-F1C956E4.pf","2989"
"SHA256","BA9F3EA88E9CC5C678AB17933F671D2656B9538DDF5026210EB97AA9CC7DB1DA","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\AM_ENGINE_PATCH_1.1.26060.300-49F3FAFB.pf","2525"
"SHA256","2C09878E9008BBE62372DE03E8BBEC1E12894EF2CA85CF2B4ED8B475BA817786","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\APPACTIONS.EXE-D77D7F4C.pf","29797"
"SHA256","27AF356558A52229D559D1FC159AFC7E2353B697ED037DC284ED0AFAD3D6A5D7","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf","32066"
"SHA256","47750DE93BF222C40E4719CC01D0C009C2AB5A5A91918A6ED8435010A9E174F7","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\AUDIODG.EXE-AB22E9A6.pf","6319"
"SHA256","4268FFD7E49AA9823E6D91439EDF6A112921917F90A77EC671BDB6072EBA9EBC","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\AUDITPOL.EXE-2D4A3037.pf","2354"
"SHA256","98D6E3DCA5D273879B55941300C2EDA14CDA86A70A1FF17B4F1546E6E5998E31","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\BACKGROUNDTASKHOST.EXE-4589797A.pf","9344"
