"RunTime","ExecutableName"
"2026-08-23 00:48:17","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-23 00:45:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-23 00:45:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\NOTEPAD++\UPDATER\GUP.EXE"
"2026-08-23 00:47:17","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-23 00:45:24","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-23 00:45:24","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-23 00:45:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\NOTEPAD++\NOTEPAD++.EXE"
"2026-08-23 00:48:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSNOTEPAD_11.2606.15.0_X64__8WEKYB3D8BBWE\NOTEPAD\NOTEPAD.EXE"
"2026-08-23 00:46:59","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE"
"2026-08-23 00:46:59","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SEARCHPROTOCOLHOST.EXE"
"2026-08-23 00:45:44","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTH\10.0.29628.1000-0\SECURITYHEALTHHOST.EXE"
"2026-08-23 00:45:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTH\10.0.29628.1000-0\SECURITYHEALTHHOST.EXE"
"2026-08-23 00:45:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-23 00:48:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-23 00:48:17","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-23 00:45:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\TASKHOSTW.EXE"
"2026-08-23 00:48:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE"
