"Action","Phase","UTC","Note"
"PRE","anchor","2026-08-23T01:36:10+00:00","Revert to scenario1_post (Notepad++ preinstalled from Scenario 1), sign in as dfanalyst, 60s settle. Logger loaded. Save As target: C:\Users\dfanalyst\Documents\scenario7_test_file.txt (Notepad++ default filter appends .txt; confirm from ShellBags parse). DEVIATION from catalogue: no per-rep subfolder was created inside the Save As dialog; file written to Documents root. A05 to A07 replaced with Explorer verification pass instead of the catalogue's folder-creation-and-enter-and-save sequence. Mirrors Runs 1 and 2 for cross-run comparability. Clean 14-row log (no duplicate rows). A02 UTC marker pasted into file: 2026-08-23T01:37:55.7549893Z."
"A01","start","2026-08-23T01:37:10.1304310+00:00","Launch Notepad++ from Start"
"A01","end","2026-08-23T01:37:36.8891773+00:00",""
"A02","start","2026-08-23T01:37:48.3483141+00:00","Type Scenario 7 test content with UTC marker"
"A02","end","2026-08-23T01:38:25.0915857+00:00",""
"A03","start","2026-08-23T01:38:37.6191033+00:00","File menu, Save As in Docuemts folder"
"A03","end","2026-08-23T01:39:37.8602035+00:00",""
"A04","start","2026-08-23T01:39:47.1060939+00:00","Closing Notepad++"
"A04","end","2026-08-23T01:40:00.4118549+00:00",""
"A05","start","2026-08-23T01:40:11.7039072+00:00","Opening Documents folder using File Explorer"
"A05","end","2026-08-23T01:40:33.2715870+00:00",""
"A06","start","2026-08-23T01:40:45.3515071+00:00","Viewing the file created"
"A06","end","2026-08-23T01:40:57.2474867+00:00",""
"A07","start","2026-08-23T01:41:06.9556496+00:00","Closing File explorer and Applications"
"A07","end","2026-08-23T01:41:25.5465528+00:00",""
