"Action","Phase","UTC","Note"
"A01","start","2026-08-18T20:18:10.8212766+00:00","Launch cmd.exe from Start"
"A01","end","2026-08-18T20:18:29.1424002+00:00",""
"A02","start","2026-08-18T20:18:49.0700644+00:00","cmd: whoami"
"A02","end","2026-08-18T20:18:58.3249610+00:00",""
"A03","start","2026-08-18T20:19:26.3738517+00:00","cmd: dir C:\Windows"
"A03","end","2026-08-18T20:20:00.8904413+00:00","dir C:\Windows"
"A04","start","2026-08-18T20:20:14.2935150+00:00","Close cmd"
"A04","end","2026-08-18T20:20:25.2050958+00:00",""
"A05","start","2026-08-18T20:20:48.4442687+00:00","Launch powershell"
"A05","end","2026-08-18T20:21:19.8578361+00:00",""
"A06","start","2026-08-18T20:21:44.9943674+00:00","PS: Get-Process"
"A06","end","2026-08-18T20:22:32.9225135+00:00","Get-Process"
"A07","start","2026-08-18T20:22:49.7719866+00:00","Close powershell"
"A07","end","2026-08-18T20:23:00.0246629+00:00",""
