RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1253,1253,2026-08-20 09:03:37.3208539,8224,Info,VSS,Application,6784,0,disstestbedvm,22,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""2D-20-43-6F-64-65-3A-20-20-43-4F-52-53-56-43-43-30-30-30-30-30-37-37-32-2D-20-43-61-6C-6C-3A-20-20-43-4F-52-53-56-43-43-30-30-30-30-30-37-35-34-2D-20-50-49-44-3A-20-20-30-30-30-30-36-37-38-34-2D-20-54-49-44-3A-20-20-30-30-30-30-36-38-30-38-2D-20-43-4D-44-3A-20-20-43-3A-5C-57-49-4E-44-4F-57-53-5C-73-79-73-74-65-6D-33-32-5C-76-73-73-76-63-2E-65-78-65-20-20-20-2D-20-55-73-65-72-3A-20-4E-61-6D-65-3A-20-4E-54-20-41-55-54-48-4F-52-49-54-59-5C-53-59-53-54-45-4D-2C-20-53-49-44-3A-53-2D-31-2D-35-2D-31-38-20""}}"
1255,1255,2026-08-20 09:04:58.1459101,4097,Info,Microsoft-Windows-CAPI2,Application,1272,1892,disstestbedvm,23,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Application.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":""CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R3, D69B561148F01C77C54578C10926DF5B856976AD"",""Binary"":""""}}"
1256,1256,2026-08-20 09:09:17.2768190,1001,Info,Windows Error Reporting,Application,1712,4192,disstestbedvm,23,S-1-5-18,Application Crash,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Application.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Bucket""},{""@Name"":""BucketType"",""#text"":""0""},{""@Name"":""EventName"",""#text"":""LiveKernelEvent""},{""@Name"":""Response"",""#text"":""Not available""},{""@Name"":""CabId"",""#text"":""0""},{""@Name"":""P1"",""#text"":""1a8""},{""@Name"":""P2"",""#text"":""a""},{""@Name"":""P3"",""#text"":""0""},{""@Name"":""P4"",""#text"":""0""},{""@Name"":""P5"",""#text"":""0""},{""@Name"":""P6"",""#text"":""10_0_26200""},{""@Name"":""P7"",""#text"":""0_0""},{""@Name"":""P8"",""#text"":""256_1""},{""@Name"":""P9""},{""@Name"":""P10""},{""@Name"":""AttachedFiles"",""#text"":"", \\\\?\\C:\\WINDOWS\\LiveKernelReports\\WATCHDOG\\WATCHDOG-20260714-1100.dmp, \\\\?\\C:\\WINDOWS\\SystemTemp\\WER-134484-0.sysdata.xml, \\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.ef2d1131-73d3-4f17-8425-3a907ce3ce63.tmp.WERInternalMetadata.xml, \\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.63671d43-3ed9-442c-8d41-9b258c20954d.tmp.csv, \\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.995c5383-c12b-489f-81dd-9ec237b27e89.tmp.txt, \\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.3fbd675b-2f99-4220-94f6-31b882945912.tmp.xml""},{""@Name"":""StorePath"",""#text"":""\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\ReportQueue\\Kernel_1a8_9d28cacebfd2e58c9d4bbe18d96b857e6f8d615_00000000_c8eef376-26c2-4fb0-b3fc-1c1383ba5f00""},{""@Name"":""AnalysisSymbol""},{""@Name"":""Rechecking"",""#text"":""0""},{""@Name"":""ReportId"",""#text"":""c8eef376-26c2-4fb0-b3fc-1c1383ba5f00""},{""@Name"":""ReportStatus"",""#text"":""2049""},{""@Name"":""HashedBucket""},{""@Name"":""CabGuid"",""#text"":""0""}]}}"
1257,1257,2026-08-20 09:09:18.5851100,16394,Info,Microsoft-Windows-Security-SPP,Application,6576,0,disstestbedvm,23,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
35087,35087,2026-08-20 09:03:37.3479544,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6392,disstestbedvm,421,,A process has exited,WORKGROUP\DISSTESTBEDVM$,,,PID: 0x101C,,,,,C:\Windows\System32\dllhost.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x101C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\dllhost.exe""}]}}"
35088,35088,2026-08-20 09:03:37.3680043,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,256,disstestbedvm,421,,A process has exited,WORKGROUP\DISSTESTBEDVM$,,,PID: 0x1A80,,,,,C:\Windows\System32\VSSVC.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x1A80""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\VSSVC.exe""}]}}"
35089,35089,2026-08-20 09:03:39.3837777,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6392,disstestbedvm,421,,A new process has been created,WORKGROUP\DISSTESTBEDVM$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x5FC,Parent PID: 0x23B4,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: NT AUTHORITY\LOCAL SERVICE,,"C:\Windows\System32\appidcertstorecheck.exe ""C:\WINDOWS\system32\appidcertstorecheck.exe""",False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x23B4""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\appidcertstorecheck.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x5FC""},{""@Name"":""CommandLine"",""#text"":""\""C:\\WINDOWS\\system32\\appidcertstorecheck.exe\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-19""},{""@Name"":""TargetUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""TargetDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""TargetLogonId"",""#text"":""0x3E5""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
35090,35090,2026-08-20 09:03:39.3876612,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6392,disstestbedvm,421,,A new process has been created,NT AUTHORITY\LOCAL SERVICE,,Parent process: C:\Windows\System32\appidcertstorecheck.exe,PID: 0x23B4,Parent PID: 0x23B0,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""NewProcessId"",""#text"":""0x23B0""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x23B4""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\appidcertstorecheck.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
35091,35091,2026-08-20 09:03:39.4341062,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,256,disstestbedvm,421,,A process has exited,NT AUTHORITY\LOCAL SERVICE,,,PID: 0x23B4,,,,,C:\Windows\System32\appidcertstorecheck.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x23B4""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\appidcertstorecheck.exe""}]}}"
35092,35092,2026-08-20 09:03:39.4357572,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,256,disstestbedvm,421,,A process has exited,NT AUTHORITY\LOCAL SERVICE,,,PID: 0x23B0,,,,,C:\Windows\System32\conhost.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_9\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x23B0""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""}]}}"
