scenario,ground_truth_item,pf,evtx,sbags,correlated,reproducibility,notes
S01,Chrome installer executed,PASS,PASS,N/A,PASS,N/A,PF ChromeSetup + 4688 parent explorer.exe + Google Updater 7045
S01,WinRAR installer executed,PASS,PASS,N/A,PASS,N/A,PF winrar-x64-723 + 4688 + CAPI2 Certum chain
S01,VLC installer executed,PASS,PASS,N/A,PASS,N/A,PF vlc-3.0.23 + VLC-cache-gen + 4688
S01,Adobe Reader installer executed,PASS,PASS,N/A,PASS,N/A,strongest MSI chain: MsiInstaller 11707 + 1033 + 1025 + service 7045
S01,Zoom installer executed,PASS,PASS,N/A,PASS,N/A,PF ZoomInstallerFull + MSI 1040 + CAPI2 Comodo + service 7045
S01,Notepad++ installer executed,PASS,PART,N/A,PART,N/A,NSIS not MSI: no MsiInstaller trail; EVTX diluted by Adobe residue
S01,Chrome install completed successfully,PASS,PASS,N/A,PASS,N/A,PF chrome.exe post-install + Google Updater service registration
S01,WinRAR install completed successfully,PASS,PASS,N/A,PASS,N/A,PF rarextinstaller.exe post-install
S01,VLC install completed successfully,PASS,PASS,N/A,PASS,N/A,PF VLC-cache-gen fires only during install
S01,Adobe Reader install completed successfully,PASS,PASS,N/A,PASS,N/A,MsiInstaller 11707 explicitly names product + success
S01,Zoom install completed successfully (+ service 7045),PASS,PASS,N/A,PASS,N/A,PF Zoom.exe + MSI 1042 exit + service 7045
S01,Notepad++ install completed successfully,PASS,PART,N/A,PART,N/A,PF direct hit but no MSI trail; single-class attribution
S01,User navigated to Downloads folder,FAIL,PART,PART,PART,N/A,SB BagMRU present but timestamp is post-scenario hive flush
S04,USB device attached (VID/PID/serial),N/A,PASS,N/A,PASS,3/3,DriverFrameworks 2005 chain + Partition 1006 Model:UDisk + Security 6416
S04,USB volume root browsed,N/A,N/A,PART,PART,1/3,SB E: only in Run 1; Runs 2/3 lost to short A02 window
S04,USB subfolder browsed,N/A,N/A,PASS,PASS,3/3,BagMRU Desktop\E:\PORTABLE direct hit in all three runs
S04,EXE launched from USB volume,PASS,PASS,N/A,PASS,3/3,PF HelloWorld.exe with volume-path attribution + 4688 parent explorer.exe
S04,USB device safely ejected,N/A,PASS,N/A,PASS,3/3,DriverFrameworks 2900 shutdown + Partition 1006 UDisk (device loop closed)
S07,notepad++.exe launched,PASS,PASS,N/A,PASS,3/3,PF notepad++.exe + GUP updater + 4688 chain
S07,User navigated to Documents in Save-As dialog,N/A,N/A,PASS,PASS,3/3,UsrClass BagMRU Desktop\Documents in each run
S07,File scenario7_test_file.txt saved to Documents root,PASS,PASS,PASS,PASS,3/3,4663 object write on saved file + PECmd notepad++.exe RunTime + UsrClass Desktop\Documents present in all 3 runs
S07,Save-As dialog ShellBags entry present,N/A,N/A,PASS,PASS,3/3,7-row UsrClass pattern including Documents and Program Files\Notepad++
S02,notepad.exe launched (3 times),PASS,PASS,N/A,PASS,N/A,PF NOTEPAD.EXE + 4688 parent explorer.exe
S02,calc.exe launched (3 times),PASS,PASS,N/A,PASS,N/A,PF CALCULATORAPP.EXE (Win11 UWP rename)
S02,chrome.exe launched (3 times),PASS,PASS,N/A,PASS,N/A,dense multi-process PF cluster + 4688 burst + Chrome Application EID 256
S02,winrar.exe launched (3 times),PASS,PASS,N/A,PASS,N/A,PF winrar + rarextinstaller + 5379 licence-read
S02,vlc.exe launched (3 times),PASS,PASS,N/A,PASS,N/A,PF vlc.exe direct hit + 4688
S02,notepad++.exe launched (3 times),PASS,PASS,N/A,PASS,N/A,PF notepad++ + GUP updater
S02,Prefetch run count = 3 per app,PASS,N/A,N/A,PASS,N/A,Prefetch RunCount field reliably tracks per-app iteration count
S03,Level-1 folder browsed,N/A,N/A,PASS,PART,N/A,BagMRU Desktop\...\level1_a with per-folder LastInteracted
